id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15
5561000190,20140502T000000,,,,,,2.0,0.0,0.0,4.0,9.0,,0.0,1977.0,0.0,98027.0,47.4635,-121.991,,
2207200675,20140502T000000,,,,,,1.0,0.0,0.0,4.0,7.0,,0.0,1956.0,0.0,98007.0,47.6022,-122.134,,
3390600010,20140502T000000,,,,,,1.0,0.0,0.0,4.0,7.0,,0.0,1955.0,0.0,98106.0,47.5334,-122.365,,
7525000080,20140502T000000,,,,,,1.0,0.0,0.0,3.0,8.0,,360.0,1980.0,0.0,98074.0,47.6267,-122.046,,
5072200040,20140502T000000,,,,,,1.0,0.0,2.0,5.0,8.0,,310.0,1957.0,0.0,98166.0,47.4419,-122.34,,
4040800810,20140502T000000,,,,,,1.0,0.0,0.0,4.0,8.0,,1000.0,1963.0,0.0,98008.0,47.6188,-122.11399999999999,,
2391600950,20140502T000000,,,,,,2.0,0.0,0.0,3.0,8.0,,0.0,1990.0,,98116.0,47.5631,-122.397,,
5652600185,20140502T000000,,,,,,2.0,0.0,0.0,5.0,8.0,,690.0,1923.0,0.0,98115.0,47.6954,-122.292,,
4408100095,20140502T000000,,,,,,1.0,0.0,0.0,4.0,7.0,,0.0,1950.0,0.0,98155.0,47.7352,-122.32799999999999,,
1323089184,20140502T000000,,,,,,1.0,0.0,0.0,4.0,7.0,,860.0,1985.0,0.0,98045.0,47.4828,-121.71799999999999,,
2423600100,20140502T000000,,,,,,1.0,0.0,2.0,,9.0,,0.0,1968.0,0.0,98092.0,47.2703,-122.069,,
2011000010,20140502T000000,,,,,,1.0,0.0,0.0,3.0,7.0,,0.0,1987.0,0.0,98198.0,47.3815,-122.31299999999999,,
7575600100,20140502T000000,,,,,,1.0,0.0,0.0,4.0,8.0,,730.0,1987.0,0.0,98003.0,47.3537,-122.303,,
1982201345,20140502T000000,,,,,,1.0,0.0,0.0,4.0,7.0,,0.0,1944.0,0.0,98107.0,47.6639,-122.36399999999999,,
1525079056,20140502T000000,,,,,,1.0,0.0,0.0,3.0,7.0,,,1968.0,0.0,98014.0,47.6517,-121.906,,
4219400290,20140502T000000,,,,,,1.5,,0.0,3.0,8.0,,0.0,1939.0,0.0,98105.0,47.6552,,,
7853220390,20140502T000000,,,,,,2.0,0.0,2.0,3.0,10.0,,0.0,2006.0,0.0,98065.0,47.5337,-121.86,,
776600130,20140502T000000,,,,,,1.0,0.0,0.0,3.0,6.0,,0.0,1983.0,0.0,98045.0,47.488,-121.787,,
7525100520,20140502T000000,,,,,,1.0,0.0,0.0,3.0,8.0,,0.0,1976.0,0.0,98052.0,47.6344,-122.10700000000001,,
587550340,20140502T000000,,,,,,2.0,0.0,2.0,3.0,10.0,,0.0,1995.0,0.0,98023.0,47.3256,-122.37799999999999,,
4217401055,20140502T000000,,,,,,1.5,,0.0,5.0,8.0,,,1909.0,0.0,98105.0,47.6578,,,
1245003160,20140502T000000,,,,,,1.5,0.0,0.0,5.0,7.0,,900.0,1920.0,0.0,,47.6845,-122.20100000000001,,
6600780130,20140502T000000,,,,,,2.0,0.0,0.0,3.0,8.0,,0.0,1997.0,0.0,98092.0,47.3279,-122.191,,
2591720070,20140502T000000,,,,,,2.0,0.0,0.0,,9.0,,0.0,1989.0,,98038.0,47.375,-122.022,,
2201501015,20140502T000000,,,,,,1.0,0.0,0.0,4.0,7.0,,850.0,1954.0,0.0,98006.0,47.5725,-122.133,,
9267200226,20140502T000000,,,,,,3.0,0.0,0.0,3.0,8.0,,170.0,2007.0,,98103.0,47.6965,-122.34200000000001,,
7399300120,20140502T000000,,,,,,1.0,0.0,0.0,4.0,7.0,,,1974.0,0.0,98055.0,47.461999999999996,-122.193,,
2326059099,20140502T000000,,,,,,2.0,0.0,0.0,3.0,9.0,,0.0,2001.0,0.0,98052.0,47.7232,-122.131,,
2025700730,20140502T000000,,,,,,1.0,0.0,0.0,4.0,7.0,,760.0,1992.0,0.0,98038.0,47.3493,-122.03399999999999,,
1868902745,20140502T000000,,,,,,1.5,0.0,0.0,4.0,8.0,,,1929.0,0.0,98115.0,47.6747,-122.295,,
7525410190,20140502T000000,,,,,,1.5,0.0,0.0,3.0,8.0,,0.0,1979.0,0.0,98075.0,47.5747,-122.035,,
2493200195,20140502T000000,,,,,,1.0,,0.0,4.0,8.0,,1000.0,1948.0,0.0,98136.0,47.5274,-122.384,,
2618300080,20140502T000000,,,,,,1.0,0.0,0.0,4.0,7.0,,0.0,1965.0,0.0,98042.0,47.4225,-122.15299999999999,,
5561000920,20140502T000000,,,,,,2.0,0.0,0.0,3.0,9.0,,0.0,2000.0,0.0,98027.0,47.4634,-121.98700000000001,,
8564860280,20140502T000000,,,,,,2.0,0.0,0.0,3.0,8.0,,0.0,2013.0,0.0,98045.0,47.4761,-121.734,,
472000620,20140502T000000,,,,,,1.0,0.0,0.0,4.0,9.0,,900.0,1951.0,0.0,98117.0,47.6833,-122.4,,
1024069009,20140502T000000,,,,,,2.0,0.0,0.0,3.0,8.0,,0.0,1979.0,0.0,98029.0,47.5794,-122.025,,
7853361370,20140502T000000,,,,,,2.0,0.0,0.0,3.0,8.0,,0.0,2012.0,0.0,,47.515,-121.87,,
5056500260,20140502T000000,,,,,,1.0,0.0,0.0,3.0,,,1080.0,1966.0,0.0,98006.0,47.5443,-122.177,,
3438501320,20140502T000000,,,,,,2.0,0.0,0.0,3.0,7.0,,350.0,2009.0,0.0,98106.0,47.5489,-122.363,,
1737320120,20140502T000000,,,,,,1.0,0.0,0.0,3.0,8.0,,750.0,1976.0,0.0,98011.0,47.7698,-122.22200000000001,,
7197300105,20140502T000000,,,,,,1.0,0.0,0.0,,7.0,,800.0,1976.0,0.0,98052.0,47.683,-122.11399999999999,,
1999700045,20140502T000000,,,,,,1.5,0.0,0.0,3.0,7.0,,0.0,1955.0,0.0,98133.0,47.7658,-122.339,,
5467900070,20140502T000000,,,,,,1.0,0.0,0.0,4.0,8.0,,0.0,1966.0,0.0,98042.0,47.3672,-122.15100000000001,,
1962200037,20140502T000000,,,,,,2.5,0.0,0.0,3.0,9.0,,280.0,,0.0,98102.0,47.6498,,,
3328500250,20140502T000000,,,,,,2.0,0.0,0.0,3.0,8.0,,0.0,1987.0,0.0,98001.0,47.3406,-122.26899999999999,,
1088800850,20140502T000000,,,,,,2.0,0.0,0.0,3.0,9.0,,0.0,1991.0,0.0,,47.7419,-122.205,,
